RULESET_3.0,클래식 슬롯 코어 (2026-08-24 라이브),meta,레버=전칸 추첨·판 유지·직선 3연속 기본·완성형 잭팟·장치는 뱃지
JUDGE_BASIC,가로 행내 3연속(x1)·4연속(x2)·5연속(x4) + 세로 5열 + 대각 6방향,judge3,직선 3개가 이어지면 기본 당첨
JUDGE_JACKPOT,꺾인 줄 6종(브이·산·지붕·골짜기·내리막·오르막) 5칸 완성 시 x4,judge3,희귀 잭팟 — 실측: 초반 8.8%/레버·순도 60%시 45%·후반(눈5+) 8~16%
JUDGE_OVERLAP,같은 줄 하위 조각 무시(최대 연속 1회)·다른 모양 간 중복 지불,judge3,클로버핏 원리 — 유닛 검증 완료
JUDGE_MULTI,동시 N줄 = 전체 x(1+0.2x(N-1)),judge3,큰 당첨 텍스처
BADGE_RULE,장치는 릴에 없다 — 레버마다 35%로 심볼에 뱃지 부착·당첨 줄 포함 시 발동·레버당 1회(변압기만 줄마다),badge,코어 뱃지 중복 발동 폭주(x2^겹침) 수정 반영
START_POOL_3,어금니5+뼈5+귀3 · 장치: 축전지1,economy3,릴 풀은 문양만
ECON_3,당첨 레버 +1닢 · 출발 시 남긴 레버 누진(1·2·3·5·8닢) · 제거 3닢 · 리롤 1닢,economy3,정밀화 2026-08-24 — 카지노 문법(줄이 서면 동전이 떨어진다) + 원작 출발 정산 통합
EYE_3,기존 눈 시스템 유지(출현 게이트·최대 8·눈배수·갈이) + 눈 세금 폐지,eye3,당첨 줄 인접 눈 갈림(눈 배수 1.5+ 빌드는 면제)·강설 0.08+0.02x(정차-4)
BELL_3,게이지 적립 = 🔔 벨 뱃지(칸당 8%+부품 보정)가 당첨 줄에 들면 뱃지당 +1 — v9.9 단일 경로 복원(2026-08-24) · 장치 뱃지와 같은 칸 중복 금지,bell3,문턱 3→링당+1→최대7 · 내기 배당 2배(정산 복원 2026-08-24)
CRESCENDO,정산 = 작은 줄→큰 줄→완성형 순·팝 점증·완성형 직전 침묵·흔들림+배너,fx3,클로버핏 당첨 사다리 문법
MEASURE_NOTE,Fixture_p30은 게임 엔진 내장 MC(__v2.simLever)로 측정 — 게임과 측정이 같은 코드,meta,측정 전 LINES=20 확인 절차 필수(타이틀 화면은 8줄 유물)
DESIGN_DEBT,도구 부품 10종(D-12 폐기: 각인 인두·재추첨·봉인) 부활 여부 · 승객 도구 지급(광부·청소부·검역관) 미배선 — 소각로/눈꺼풀 중복은 해소(2026-08-24),debt,다음 패스 목록
DESCENT_MODE,10층 클리어 후 하강 2막 (예약),descent,옛 하강/문 계열·DESC_DEALS 슬롯 — 설계 보류
BPI_NOTE,Min_Expected_Mult는 정적 눈 기준,anchor,강설·무게 인상분 제외 — 실효 목표는 시뮬로 검증
SPIN_ECON,"레버 = 충전식 탱크 · 상한 5 (꽉 찬 채 6개 시작 불가, 어떤 소스로도 미사용분 5 초과 불가) · 재충전은 아이템만(예비 레버 태엽 액티브·기관사의 습관·태엽 부품) · 동전 구매 폐지",economy3,"설계자 지시 2026-08-25 — ""돈으로 아무렇지 않게 레버 증가 = 긴장감 없음"". 실측: 시작 클램프·만탱크 충전 차단·중간 충전 3→4 검증"
ITEMS_3,"RoR식 3계층: 일반=무한 스택(문양 가중 ×1.4^n 곱연산, 8종) · 가중 아이템 상점 공급 ×0.55^보유 고갈 · 유일 3종(운+2/배율+0.4x/정차 무료 레버) · 액티브 2칸+충전(확률 반전기·과부하 손잡이)",economy3,"설계자 지시 2026-08-24 — 실측: 뼈 5스택 77%·10스택 94.8%, 공급 300롤 73→1회"
