Key,Value,Desc
FINAL_FLOOR,7734,완주 층 (원작 finalF 직역)
STOP_DEF,정차 = 보드 스테이지 1회,1~10 = 검증 앵커 테이블 · 11+ = 절차 생성
FLOOR_START,1,시작 층
JUMP_BASE,round(1.6^(k-1)),정차 k 클리어 시 기본 상승 층수 (무보정 완주 = 정차 ~18회)
EXCESS_CONVERT,min(초과전력/목표·0.5) x JUMP_BASE 추가,케이블 이월 원칙 — 초과 달성은 상승으로 보상
PAX_JUMP,권양기사 +12 · 인장 관리인 +40 · 검사원 +60층,상승한계 직역 복원 (전력 이월 환산 폐기)
TARGET_STOP11+,T = 1300 x (현재층 ÷ 기준층 186)^0.52,층수 기반 목표 — 빨리 오르면 목표도 커지는 자기 균형
BETA,0.52,후반 난이도 마스터 다이얼 — 실측: 0.50→x1.33 편차 / 0.52→x1.24 / 0.55→A 우위 역전
GROWTH_ASSUMPTION,g = 1.12/정차,정차 11+ 빌드 성장 근사 (거래 유산 + 각인 + 합성 포화) — 선언된 가정
STOP11_BOARD,K=8 · P05~P08 순환+미러 · 8턴 · 강설 상한 +4,정차 11+ 보드 규칙
MEASURED_FINISH,A 28.7% / B 30.5% / C 24.6% (편차 x1.24),10000런 x 픽스처 사다리 · 중앙 완주 정차 18 · 주 사망 정차6(19%)
DIFFICULTY_NOTE,β +0.03 ≈ 완주율 절반,전체 난이도는 β와 6층 목표 두 다이얼로 조정
