ID,Name,Kind,Weight,Dest_Floor,Pay_Gold,Gen,Effect_New,Chain_New,Fuse_Family,Fuse_Effect,Trigger_Note,Original_FX
quar,검역관,Quest,2,8,6,1,무게 비용 x0.65,,,,격리 병동이 8층이다,검역 통과 — 무게가 문턱을 덜 올린다 (−35%)
mine,폐광의 광부,Quest,3,12,8,1,강설 확률 -20%p,,,,갱도 입구가 12층 뒤에 있다,갱도를 안다 — 눈이 덜 뜬다 (가중치 −0.2)
mort,장의사,Quest,4,20,12,1,탑승 중 모든 심볼 기초값 x2,,,,안치실이 20층이다,모든 심볼값 2배
metr,전력 검침원,Quest,3,16,10,1,M1 영구 +1.5 (하차 후 유지),,,,16층에 미검침 세대가 남았다,전력 배수 영구 +1.5
swep,굴뚝 청소부,Quest,2,444,20,2,1차 배율(M1) +0.5,,,,굴뚝은 444층을 지난다,연도를 쓸어낸다 — 전력 배수 +0.5
clrk,명부 서기,Quest,1,4444,30,2,인도마다 골드 +2,,,,4444층 명부가 아직 안 닫혔다,승객을 인도할 때마다 동전 +2
plum,배관공,Ability,2,0,0,1,세로 인접 GEN쌍당 +1.5W · 십자(4방) 완성 시 +-1W [재해석:대각→십자] · 층 클리어 시 활성 시너지 1당 배율 +1.2% (영구 복리),,밧줄,세로 인접 GEN쌍당 +2.0W,주 배관을 따라 끝까지 간다,세로 다섯 줄 각각 +3 · 대각 줄은 −1 (배관은 수직으로 흐른다) · 출발 시 이 층에서 세운 줄 1개당 전력 배수 +1.2%
bee,검은 벌의 양봉업자,Ability,2,0,0,1,매 턴 최저 기초 심볼 1회 재발동(2배 아님·중복 발동),,벨,게이지 적립 확률 +10%p,벌은 위로만 난다,값이 가장 낮은 성립 줄 1회 재발동
gamb,손가락 없는 도박사,Ability,3,0,0,1, · 공전 턴마다 골드 +1,,표,공전 턴마다 골드 +2,빚쟁이는 어느 층에나 있다,운 +2 · 눈 배수 +0.5 · 줄이 안 선 레버마다 동전 1닢 · 무겁다 (무게 3)
endr,7734행 수금원,Ability,3,0,0,1,가로 인접 GEN쌍당 +0.5W · 세로 인접 GEN쌍당 +0.5W · 십자(4방) 완성 시 +1W [재해석:대각→십자] · 층 클리어 시 인도 승객 1당 배율 +9.0% (영구 복리),,상아,가로 인접 GEN쌍당 +0.5W · 세로 인접 GEN쌍당 +0.5W · 십자(4방) 완성 시 +1W [재해석:대각→십자],끝 층의 빚은 끝 층에서 받는다,모든 줄값 +1 · 출발 시 인도한 이름 1명당 전력 배수 +9%
