ID,Name,Family,Grade,Weight,Effect_New,Chain_New,Active,Condition,Disposition,Original_FX
iron,낙인 인두,연장,4,2,각인 층당 1회 (심볼 1개 영구 +1W) · 목표 전력 x1.3,,,,직역,각인 층당 1회 · 무게 +2 · 문턱 +30%
probe,균열 탐침,연장,2,0,재추첨 +1회,,,,직역,재추첨 +1회
head,예비 헤드,연장,3,0,각인 층당 1회 (심볼 1개 영구 +1W),,,iron,직역,각인 +1회 (낙인 인두 필요)
t201,녹슨 곡괭이 날,연장,2,0,재추첨 +1회 · 강설 확률 +20%p,,,,직역,재추첨 +1회 · 눈 위협도 +0.2
t202,봉인 딱지 뭉치,연장,2,0,칸 봉인 딱지 층당 +2 (눈 1칸 무력화),,,,직역,봉인 딱지 층당 +2
sgun,산탄총,연장,4,0,,,발동형(충전 2): shot,,직역,발동: 명부의 이름 하나를 지운다 — 인도 없이· 무게가 빈다. 건물이 총성을 듣는다: 눈 하나가 뜨고· 문턱이 영구히 +8% — 명부는 지워진 이름을 기억한다
t204,이중 자루,연장,3,1,재추첨 +1회,,,,직역,재추첨 +1회 · 무게 +1
t205,수동 윈치,연장,3,0,재추첨 +2회,,,7층부터,직역,7층부터 재추첨 +2회
t206,예비 손잡이,연장,2,0,계열 1개당 재추첨 +0.5,,,,직역,연장 2개당 재추첨 +1회
p01,도안집,무늬,3,0,빈칸 보너스 x1.30 [재해석:무늬→빈칸 축],,,,재해석,무늬 배수 +30%
p02,금박 인그레이빙,무늬,4,0,빈칸 보너스 x1.70 [재해석:무늬→빈칸 축] · 목표 전력 x1.12,,,,재해석,무늬 배수 +70% · 문턱 +12%
p03,견본 천,무늬,2,0,빈칸 보너스 x1.15 [재해석:무늬→빈칸 축] · Common 기초 심볼 +3W,,,,재해석,무늬 배수 +15% · 저배율 심볼값 각각 +3
p04,닳은 모눈자,무늬,1,0,무늬 계열 세트 카운트 전용 (효과 없음),,,,직역,무늬 수만 채운다 — 그 자체 효과는 없다
a90,재 여과기,잿가루,3,0,층 시작 시 눈 -1 · 1차 배율(M1) +0.3,,,,직역,도착마다 눈 하나가 사라진다 · 전력 배수 +0.3
batt,소형 축전지,구리,3,0,1차 배율(M1) +0.6,,,,직역,전력 배수 +0.6
valve,압력 밸브,구리,3,0,시너지 3+ 턴마다 M1 +0.4 (최대 +3),,,,직역,3줄 이상 성립 시 전력 배수 +0.5 (누적 +3.0)
c03,대형 축전지,구리,4,2,1차 배율(M1) +1.1,,,,직역,전력 배수 +1.1 · 무게 +2
c06,병렬 배선,구리,3,0,계열 1개당 M1 +0.1,,,,직역,구리 1개당 전력 배수 +0.1 (최대 6개)
c07,과열 변압기,구리,4,0,총 전력 x1.5 (곱연산) · 목표 전력 x1.25,,,,직역,전력 ×1.5 · 문턱 +25%
c08,검침 봉인,구리,3,0,골드 5+ 보유 시 M1 +2,,,,직역,동전 5닢 이상이면 전력 배수 +2
c09,예비 퓨즈,구리,1,0,구리 계열 세트 카운트 전용 (효과 없음),,,,직역,구리 수만 채운다 — 그 자체 효과는 없다
c10,이온 응축기,구리,4,0,1차 배율(M1) +3,,,7층부터,직역,7층부터 전력 배수 +3
diag,사선 결속선,밧줄,3,0,십자(4방) 완성 시 +2W [재해석:대각→십자],,,,재해석,대각 여섯 줄 각각 +2
nt01,새김 정,밧줄,3,0,각인 필요 누적 -1회,,,,직역,줄에 값이 새겨지는 데 필요한 횟수 −1
ch01,연동 캠,톱니,3,0,[텍스트 효과 — 수동],SYNERGY(코어 발동/변압기 기여≥1.0 턴) → 눈 -1,,,직역,연쇄 — 줄이 서면 눈 하나를 지운다
ch02,재점화 코일,구리,3,0,[텍스트 효과 — 수동],SNOW_REMOVED → M1 영구 +v (v=0.15),,,직역,연쇄 — 눈이 사라지면 전력 배수 +0.15
ch03,되울림 종,벨,3,0,[텍스트 효과 — 수동],SNOW_REMOVED → 종 게이지 +v (v=1),,,직역,연쇄 — 눈이 사라지면 벨 +1
ch04,유리 파편함,유리,3,0,[텍스트 효과 — 수동],BELL_RING → 눈 +1,,,직역,연쇄 — 벨이 울리면 눈 하나를 심는다
ch05,응시 발전기,유리,4,0,[텍스트 효과 — 수동],SNOWFALL → 이번 턴 전력 +v% (v=0.18),,,직역,연쇄 — 눈이 뜨면 이번 판 전력 +18%
ch06,되감기 태엽,태엽,4,0,[텍스트 효과 — 수동],BELL_RING → 턴 +v (v=1),,,직역,연쇄 — 벨이 울리면 레버 +1
ch07,각인 연동기,밧줄,3,0,[텍스트 효과 — 수동],SNOWFALL → 각인 진행 +v (v=1),,,직역,연쇄 — 눈이 뜨면 줄 하나에 새김 +1
ch08,적선 상자,표,2,0,[텍스트 효과 — 수동],DUD(코어 미발동·M1<2 턴) → 골드 +v (v=2),,,직역,연쇄 — 꽝이면 동전 +2
ch09,집진기,잿가루,3,0,[텍스트 효과 — 수동],SNOW_REMOVED → 운 +v (v=1),,,직역,연쇄 — 눈이 사라지면 운 +1
ch10,목격 증폭기,심연,4,0,[텍스트 효과 — 수동],SNOW_SYNERGY(눈 존재+SYNERGY) → 눈 -1,,,직역,연쇄 — 눈 있는 채 줄이 서면 눈 하나를 지운다
ch11,초침 계전기,초,4,0,[텍스트 효과 — 수동],SYNERGY(코어 발동/변압기 기여≥1.0 턴) → 종 게이지 +v (v=1),,,직역,연쇄 — 줄이 서면 벨 +1
ch12,납 응결기,납,3,0,[텍스트 효과 — 수동],SNOWFALL → 골드 +v (v=3),,,직역,연쇄 — 눈이 뜨면 동전 +3
nt02,각인 망치,밧줄,5,1,각인 필요 누적 -1회,,,,직역,새김에 필요한 횟수 −1 · 도구로 선 줄은 +3 · 무게 +1
nt03,운의 정,밧줄,3,0,운 배치 심볼도 각인 적립,,,,직역,운으로 선 줄에도 값이 새겨진다
r03,강철 가로선,밧줄,3,0,가로 인접 GEN쌍당 +0.5W,,,,직역,가로 아홉 줄 각각 +1
r04,강철 세로선,밧줄,3,0,세로 인접 GEN쌍당 +1.0W,,,,직역,세로 다섯 줄 각각 +2
